,_id,date,query_reference,user_id,query,result,result_index
2644,61e6cc971fde15c89b459bc4,2022-01-18 14:06:03.756000,-1234601325,VoGNm7xQiAVVujF1mkrHVNPmdQ02,ECLINLRBMNE20214187,ECLINLRBLIM20215759,0
2645,61e6cc971fde15c89b459bc5,2022-01-18 14:06:03.756000,-1234601325,VoGNm7xQiAVVujF1mkrHVNPmdQ02,ECLINLRBMNE20214187,ECLINLRBOVE20214839,1
2646,61e6cc971fde15c89b459bc6,2022-01-18 14:14:06.066000,-145769135,VE7ApCAFeRJDmOVqIhyG,ECLINLRBROT20216552,ECLINLGHARL20218333,2
2647,61e6cc971fde15c89b459bc7,2022-01-18 14:14:06.066000,-145769135,VE7ApCAFeRJDmOVqIhyG,ECLINLRBROT20216552,ECLINLRBOVE20204069,1
2648,61e6cc971fde15c89b459bc8,2022-01-18 14:14:46.040000,2095850655,VE7ApCAFeRJDmOVqIhyG,ECLINLGHARL20218333,ECLINLRBOVE20204069,3
2649,61e7d13c1fde15c89b459bca,2022-01-18 14:18:55.631000,-1413677964,0y28WJSsOKZunyothqJkKN4zpV63,ECLINLGHDHA20143608,ECLINLRBDHA20218742,13
2650,61e7d13c1fde15c89b459bcb,2022-01-18 14:41:52.054000,-1910090742,0y28WJSsOKZunyothqJkKN4zpV63,ECLINLGHAMS20212988,ECLINLGHARL20201172,19
2651,61e7d13c1fde15c89b459bcc,2022-01-18 14:45:51.502000,9744867,0y28WJSsOKZunyothqJkKN4zpV63,ECLINLGHSHE20212513,ECLINLGHSHE20193112,0
2652,61e7d13c1fde15c89b459bcd,2022-01-18 14:56:01.938000,1218264241,C5WRYRqqEL3pZzOxeSJe,ECLINLGHAMS20203621,ECLINLGHAMS20211116,0
2653,61e7d13c1fde15c89b459bce,2022-01-18 14:57:28.864000,-682195607,pkznz5ABXPPD7ZLkQ3dnaUfmEF32,ECLINLRVS20212891,ECLINLRVS20211390,2
2654,61e7d13c1fde15c89b459bcf,2022-01-18 14:58:29.281000,13994414,pkznz5ABXPPD7ZLkQ3dnaUfmEF32,ECLINLRVS20211390,ECLINLRVS20212891,7
2655,61e7d13c1fde15c89b459bd0,2022-01-18 15:02:23.003000,1864002775,rKj1kU0dCwVKyID4LvIjJn628jg1,ECLINLRBAMS20214285,ECLINLGHSGR2007BA1987,2
2656,61e7d13c1fde15c89b459bd1,2022-01-18 15:03:53.703000,-830477457,pkznz5ABXPPD7ZLkQ3dnaUfmEF32,ECLINLRVS20211390,ECLINLRVS20212891,7
2657,61e7d13c1fde15c89b459bd2,2022-01-18 15:04:59.695000,-2069180560,0y28WJSsOKZunyothqJkKN4zpV63,ECLINLGHAMS2013CA1789,ECLINLGHAMS20141876,4
2658,61e7d13c1fde15c89b459bd3,2022-01-18 15:13:37.416000,-158882540,3IA1OjWJBVYDGgL6Gb57xEtohJ82,ECLINLRBROT20207653,ECLINLRBROT20207650,0
2659,61e7d13c1fde15c89b459bd4,2022-01-18 16:02:06.073000,1826060891,uJcQU5FpkmPWycjlUEMd,ECLINLCRVB20224,ECLINLCRVB20212459,0
2660,61e7d13c1fde15c89b459bd5,2022-01-18 16:08:55.273000,1844831596,3IA1OjWJBVYDGgL6Gb57xEtohJ82,ECLINLGHDHA20193251,ECLINLRBROT20206849,2
2661,61e7d13c1fde15c89b459bd6,2022-01-18 16:15:49.367000,-1017429981,x2qgnKBRmOcnNwn21jaWbrtSpkj2,ECLINLRBDHA201416579,ECLINLRBDHA20153660,2
